,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5,,6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,6,,7,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8,,9,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,9,,10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,
5,,6,,,,,,,,,,,,,,13,,14,,,,,,,,,,,,,
,6,,7,,,,,,,,,,,,,,14,,15,,,,,,,,,,,,
,,7,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,
,,,,,8,,,,,,,,,,,,,,,,16,,,,,,,,,,
,,,,8,,9,,,,,,,,,,,,,,16,,17,,,,,,,,,
,,,,,9,,10,,,,,,,,,,,,,,17,,18,,,,,,,,
,,,,,,10,,,,,,,,,,,,,,,,18,,,,,,,,,
,,,,,,,,,13,,,,,,,,,,,,,,,,21,,,,,,
,,,,,,,,13,,14,,,,,,,,,,,,,,21,,22,,,,,
,,,,,,,,,14,,15,,,,,,,,,,,,,,22,,23,,,,
,,,,,,,,,,15,,,,,,,,,,,,,,,,23,,,,,
,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,24,,
,,,,,,,,,,,,16,,17,,,,,,,,,,,,,,24,,25,
,,,,,,,,,,,,,17,,18,,,,,,,,,,,,,,25,,26
,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,26,
,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,21,,22,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,22,,23,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,24,,25,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,25,,26,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,
